No,Name,Type1,Type2,Height,Weight,Legendary
1,Bulbasaur,Fire,Fire,2.1,91.1,0
2,Ivysaur,Water,Fire,1.2,6.6,0
3,Venusaur,Fire,Grass,1.4,17.6,0
4,Charmander,Flying,Dragon,1.4,29.0,0
5,Charmeleon,Normal,Poison,2.4,3.1,0
6,Charizard,Flying,,2.7,33.9,0
7,Squirtle,Dragon,Rock,2.3,41.1,0
8,Wartortle,Fire,Psychic,2.7,38.5,0
9,Blastoise,Flying,Electric,1.1,49.3,0
10,Caterpie,Water,Electric,1.2,16.0,0
11,Metapod,Fire,Psychic,0.4,67.7,0
12,Butterfree,Fire,,2.3,14.8,0
13,Weedle,Dragon,,2.1,10.6,0
14,Kakuna,Flying,Rock,3.1,14.0,0
15,Beedrill,Electric,Poison,1.9,75.7,0
16,Pidgey,Dragon,Rock,1.4,94.8,0
17,Pidgeotto,Flying,Normal,1.7,33.4,0
18,Pidgeot,Grass,,2.9,50.5,0
19,Rattata,Fire,Electric,2.0,88.7,0
20,Raticate,Dragon,Grass,0.8,31.4,0
21,Spearow,Rock,Normal,3.6,63.3,0
22,Fearow,Poison,Poison,2.1,92.3,0
23,Ekans,Rock,Poison,3.0,55.4,0
24,Arbok,Psychic,Fire,0.5,83.9,0
25,Pikachu,Poison,Poison,2.3,13.2,0
26,Raichu,Psychic,Poison,3.3,98.6,0
27,Sandshrew,Electric,Psychic,2.8,46.8,0
28,Sandslash,Dragon,Poison,3.3,67.0,0
29,NidoranF,Psychic,Rock,3.5,89.4,0
30,Nidorina,Psychic,Fire,0.5,93.5,0
31,Nidoqueen,Flying,,3.3,97.2,0
32,NidoranM,Psychic,Dragon,2.5,96.5,0
33,Nidorino,Psychic,Dragon,0.6,19.7,0
34,Nidoking,Water,Water,0.6,68.3,0
35,Clefairy,Normal,Flying,0.5,48.1,0
36,Clefable,Water,Grass,2.6,51.0,0
37,Vulpix,Rock,Grass,0.9,68.0,0
38,Ninetales,Electric,,1.0,45.4,0
39,Jigglypuff,Poison,Water,0.6,2.0,0
40,Wigglytuff,Grass,Fire,3.5,6.3,0
41,Zubat,Poison,Fire,1.4,78.5,0
42,Golbat,Psychic,Poison,2.3,19.4,0
43,Oddish,Water,Rock,3.7,13.4,0
44,Gloom,Fire,Flying,3.7,2.3,0
45,Vileplume,Flying,Normal,1.5,43.1,0
46,Paras,Normal,Rock,1.9,70.6,0
47,Parasect,Flying,Rock,1.3,90.0,0
48,Venonat,Electric,Electric,2.0,81.7,0
49,Venomoth,Normal,Normal,2.8,78.6,0
50,Diglett,Normal,Water,2.4,4.5,0
51,Dugtrio,Electric,Rock,0.7,98.2,0
52,Meowth,Psychic,Grass,3.7,41.4,0
53,Persian,Fire,Electric,0.6,49.5,0
54,Psyduck,Grass,,2.6,9.1,0
55,Golduck,Dragon,Electric,1.0,14.8,0
56,Mankey,Rock,,0.3,29.0,0
57,Primeape,Psychic,Poison,1.9,3.5,0
58,Growlithe,Normal,Water,3.8,49.3,0
59,Arcanine,Flying,Normal,0.9,92.8,0
60,Poliwag,Water,Dragon,1.8,39.7,0
61,Poliwhirl,Normal,Rock,1.5,43.2,0
62,Poliwrath,Poison,Fire,2.4,69.2,0
63,Abra,Fire,Rock,0.5,28.5,0
64,Kadabra,Dragon,Flying,3.2,69.3,0
65,Alakazam,Flying,Normal,0.8,11.5,0
66,Machop,Dragon,Water,3.0,56.1,0
67,Machoke,Poison,Rock,3.9,55.7,0
68,Machamp,Flying,Poison,0.8,66.8,0
69,Bellsprout,Psychic,Electric,1.6,16.3,0
70,Weepinbell,Electric,Poison,1.4,10.2,0
71,Victreebel,Poison,,2.6,37.0,0
72,Tentacool,Grass,Psychic,0.8,8.0,0
73,Tentacruel,Fire,Poison,3.9,53.6,0
74,Geodude,Dragon,Flying,0.6,84.2,0
75,Graveler,Normal,Dragon,1.4,17.3,0
76,Golem,Flying,Grass,3.1,68.2,0
77,Ponyta,Dragon,Psychic,1.4,74.6,0
78,Rapidash,Water,Psychic,2.6,69.5,0
79,Slowpoke,Normal,Fire,3.0,41.9,0
80,Slowbro,Water,Psychic,2.2,55.3,0
81,Magnemite,Grass,Flying,1.2,53.1,0
82,Magneton,Grass,Electric,2.7,58.9,0
83,Farfetchd,Water,Water,1.0,86.6,0
84,Doduo,Water,Normal,2.1,33.7,0
85,Dodrio,Water,Normal,3.7,21.2,0
86,Seel,Flying,Fire,2.7,77.4,0
87,Dewgong,Electric,Grass,2.4,67.0,0
88,Grimer,Psychic,Rock,3.9,25.8,0
89,Muk,Electric,,0.8,33.1,0
90,Shellder,Rock,Electric,1.2,84.9,0
91,Cloyster,Dragon,Electric,1.2,80.6,0
92,Gastly,Normal,Electric,2.7,93.2,0
93,Haunter,Flying,Electric,3.7,2.2,0
94,Gengar,Fire,Normal,1.6,76.2,0
95,Onix,Psychic,,3.0,59.6,0
96,Drowzee,Rock,Water,2.7,89.5,0
97,Hypno,Dragon,Grass,2.4,40.4,0
98,Krabby,Dragon,Psychic,0.8,8.8,0
99,Kingler,Poison,Dragon,2.1,59.8,0
100,Voltorb,Grass,,2.2,27.1,0
101,Electrode,Psychic,Fire,2.0,29.9,0
102,Exeggcute,Water,Water,0.5,47.1,0
103,Exeggutor,Water,Flying,1.5,52.7,0
104,Cubone,Dragon,Flying,2.4,66.5,0
105,Marowak,Electric,Poison,3.5,85.0,0
106,Hitmonlee,Flying,Rock,2.5,91.6,0
107,Hitmonchan,Poison,Rock,1.1,36.6,0
108,Lickitung,Normal,Dragon,1.6,26.9,0
109,Koffing,Flying,Poison,0.4,34.9,0
110,Weezing,Rock,Fire,3.6,34.9,0
111,Rhyhorn,Rock,Normal,3.6,75.3,0
112,Rhydon,Grass,Grass,2.3,47.6,0
113,Chansey,Rock,Flying,2.6,17.5,0
114,Tangela,Fire,Poison,1.6,52.8,0
